Point 0: x = -4.37114e-008, y = 0, z = 1
Vertex 443: x = -1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 444: x = -1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 445: x = -1.35076e-008, y = -4.1572e-008, z = 1
Vertex 446: x = -2.56929e-008, y = -3.53633e-008, z = 1
Vertex 447: x = -2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 448: x = 0.181636, y = 0.25, z = 0.951056
Vertex 449: x = 0.0954915, y = 0.293893, z = 0.951056
Vertex 450: x = 0.0954915, y = 0.293893, z = 0.951056
Vertex 451: x = -1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 452: x = -2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 453: x = 0.181636, y = 0.25, z = 0.951056
Vertex 454: x = 0.163472, y = 0.225, z = 0.855951
Vertex 455: x = 0.0859423, y = 0.264503, z = 0.855951
Vertex 456: x = 0.0859423, y = 0.264503, z = 0.855951
Vertex 457: x = 0.0954915, y = 0.293893, z = 0.951056
Vertex 458: x = 0.181636, y = 0.25, z = 0.951056
Vertex 459: x = 0.163472, y = 0.225, z = 0.855951
Vertex 460: x = 0.345491, y = 0.475528, z = 0.809017
Vertex 461: x = 0.181636, y = 0.559017, z = 0.809017
Vertex 462: x = 0.181636, y = 0.559017, z = 0.809017
Vertex 463: x = 0.0859423, y = 0.264503, z = 0.855951
Vertex 464: x = 0.163472, y = 0.225, z = 0.855951
Vertex 465: x = 0.345491, y = 0.475528, z = 0.809017
Vertex 466: x = 0.310942, y = 0.427975, z = 0.728115
Vertex 467: x = 0.163472, y = 0.503115, z = 0.728115
Vertex 468: x = 0.163472, y = 0.503115, z = 0.728115
Vertex 469: x = 0.181636, y = 0.559017, z = 0.809017
Vertex 470: x = 0.345491, y = 0.475528, z = 0.809017
Vertex 471: x = 0.310942, y = 0.427975, z = 0.728115
Vertex 472: x = 0.475528, y = 0.654508, z = 0.587785
Vertex 473: x = 0.25, y = 0.769421, z = 0.587785
Vertex 474: x = 0.25, y = 0.769421, z = 0.587785
Vertex 475: x = 0.163472, y = 0.503115, z = 0.728115
Vertex 476: x = 0.310942, y = 0.427975, z = 0.728115
Vertex 477: x = 0.475528, y = 0.654508, z = 0.587785
Vertex 478: x = 0.427975, y = 0.589057, z = 0.529007
Vertex 479: x = 0.225, y = 0.692479, z = 0.529007
Vertex 480: x = 0.225, y = 0.692479, z = 0.529007
Vertex 481: x = 0.25, y = 0.769421, z = 0.587785
Vertex 482: x = 0.475528, y = 0.654508, z = 0.587785
Vertex 483: x = 0.427975, y = 0.589057, z = 0.529007
Vertex 484: x = 0.559017, y = 0.769421, z = 0.309017
Vertex 485: x = 0.293893, y = 0.904508, z = 0.309017
Vertex 486: x = 0.293893, y = 0.904508, z = 0.309017
Vertex 487: x = 0.225, y = 0.692479, z = 0.529007
Vertex 488: x = 0.427975, y = 0.589057, z = 0.529007
Vertex 489: x = 0.559017, y = 0.769421, z = 0.309017
Vertex 490: x = 0.503115, y = 0.692479, z = 0.278115
Vertex 491: x = 0.264503, y = 0.814058, z = 0.278115
Vertex 492: x = 0.264503, y = 0.814058, z = 0.278115
Vertex 493: x = 0.293893, y = 0.904508, z = 0.309017
Vertex 494: x = 0.559017, y = 0.769421, z = 0.309017
Vertex 495: x = 0.503115, y = 0.692479, z = 0.278115
Vertex 496: x = 0.587785, y = 0.809017, z = 0
Vertex 497: x = 0.309017, y = 0.951056, z = 0
Vertex 498: x = 0.309017, y = 0.951056, z = 0
Vertex 499: x = 0.264503, y = 0.814058, z = 0.278115
Vertex 500: x = 0.503115, y = 0.692479, z = 0.278115
Vertex 501: x = 0.587785, y = 0.809017, z = 0
Vertex 502: x = 0.529007, y = 0.728115, z = 0
Vertex 503: x = 0.278115, y = 0.855951, z = 0
Vertex 504: x = 0.278115, y = 0.855951, z = 0
Vertex 505: x = 0.309017, y = 0.951056, z = 0
Vertex 506: x = 0.587785, y = 0.809017, z = 0
Vertex 507: x = 0.529007, y = 0.728115, z = 0
Vertex 508: x = 0.559017, y = 0.769421, z = -0.309017
Vertex 509: x = 0.293893, y = 0.904508, z = -0.309017
Vertex 510: x = 0.293893, y = 0.904508, z = -0.309017
Vertex 511: x = 0.278115, y = 0.855951, z = 0
Vertex 512: x = 0.529007, y = 0.728115, z = 0
Vertex 513: x = 0.559017, y = 0.769421, z = -0.309017
Vertex 514: x = 0.503115, y = 0.692479, z = -0.278115
Vertex 515: x = 0.264503, y = 0.814057, z = -0.278115
Vertex 516: x = 0.264503, y = 0.814057, z = -0.278115
Vertex 517: x = 0.293893, y = 0.904508, z = -0.309017
Vertex 518: x = 0.559017, y = 0.769421, z = -0.309017
Vertex 519: x = 0.503115, y = 0.692479, z = -0.278115
Vertex 520: x = 0.475528, y = 0.654508, z = -0.587785
Vertex 521: x = 0.25, y = 0.769421, z = -0.587785
Vertex 522: x = 0.25, y = 0.769421, z = -0.587785
Vertex 523: x = 0.264503, y = 0.814057, z = -0.278115
Vertex 524: x = 0.503115, y = 0.692479, z = -0.278115
Vertex 525: x = 0.475528, y = 0.654508, z = -0.587785
Vertex 526: x = 0.427975, y = 0.589057, z = -0.529006
Vertex 527: x = 0.225, y = 0.692479, z = -0.529006
Vertex 528: x = 0.225, y = 0.692479, z = -0.529006
Vertex 529: x = 0.25, y = 0.769421, z = -0.587785
Vertex 530: x = 0.475528, y = 0.654508, z = -0.587785
Vertex 531: x = 0.427975, y = 0.589057, z = -0.529006
Vertex 532: x = 0.345491, y = 0.475528, z = -0.809017
Vertex 533: x = 0.181636, y = 0.559017, z = -0.809017
Vertex 534: x = 0.181636, y = 0.559017, z = -0.809017
Vertex 535: x = 0.225, y = 0.692479, z = -0.529006
Vertex 536: x = 0.427975, y = 0.589057, z = -0.529006
Vertex 537: x = 0.345491, y = 0.475528, z = -0.809017
Vertex 538: x = 0.310942, y = 0.427975, z = -0.728115
Vertex 539: x = 0.163472, y = 0.503115, z = -0.728115
Vertex 540: x = 0.163472, y = 0.503115, z = -0.728115
Vertex 541: x = 0.181636, y = 0.559017, z = -0.809017
Vertex 542: x = 0.345491, y = 0.475528, z = -0.809017
Vertex 543: x = 0.310942, y = 0.427975, z = -0.728115
Vertex 544: x = 0.181636, y = 0.25, z = -0.951056
Vertex 545: x = 0.0954915, y = 0.293893, z = -0.951056
Vertex 546: x = 0.0954915, y = 0.293893, z = -0.951056
Vertex 547: x = 0.163472, y = 0.503115, z = -0.728115
Vertex 548: x = 0.310942, y = 0.427975, z = -0.728115
Vertex 549: x = 0.181636, y = 0.25, z = -0.951056
Vertex 550: x = 0.163472, y = 0.225, z = -0.855951
Vertex 551: x = 0.0859423, y = 0.264503, z = -0.855951
Vertex 552: x = 0.0859423, y = 0.264503, z = -0.855951
Vertex 553: x = 0.0954915, y = 0.293893, z = -0.951056
Vertex 554: x = 0.181636, y = 0.25, z = -0.951056
Vertex 555: x = 0.163472, y = 0.225, z = -0.855951
Vertex 556: x = -2.56929e-008, y = -3.53632e-008, z = -1
Vertex 557: x = -1.35076e-008, y = -4.1572e-008, z = -1
Vertex 558: x = -1.35076e-008, y = -4.1572e-008, z = -1
Vertex 559: x = 0.0859423, y = 0.264503, z = -0.855951
Vertex 560: x = 0.163472, y = 0.225, z = -0.855951
Vertex 561: x = -2.56929e-008, y = -3.53632e-008, z = -1
Vertex 562: x = -2.31236e-008, y = -3.18269e-008, z = -0.9
Vertex 563: x = -1.21568e-008, y = -3.74148e-008, z = -0.9
Vertex 564: x = -1.21568e-008, y = -3.74148e-008, z = -0.9
Vertex 565: x = -1.35076e-008, y = -4.1572e-008, z = -1
Vertex 566: x = -2.56929e-008, y = -3.53632e-008, z = -1
Vertex 567: x = -1.35076e-008, y = -4.1572e-008, z = 1
Vertex 568: x = -1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 569: x = 1.71962e-015, y = -3.93402e-008, z = 0.9
Vertex 570: x = 1.71962e-015, y = -3.93402e-008, z = 0.9
Vertex 571: x = 1.91069e-015, y = -4.37114e-008, z = 1
Vertex 572: x = -1.35076e-008, y = -4.1572e-008, z = 1
Vertex 573: x = -1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 574: x = 0.0954915, y = 0.293893, z = 0.951056
Vertex 575: x = -1.35076e-008, y = 0.309017, z = 0.951056
Vertex 576: x = -1.35076e-008, y = 0.309017, z = 0.951056
Vertex 577: x = 1.71962e-015, y = -3.93402e-008, z = 0.9
Vertex 578: x = -1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 579: x = 0.0954915, y = 0.293893, z = 0.951056
Vertex 580: x = 0.0859423, y = 0.264503, z = 0.855951
Vertex 581: x = -1.21568e-008, y = 0.278115, z = 0.855951
Vertex 582: x = -1.21568e-008, y = 0.278115, z = 0.855951
Vertex 583: x = -1.35076e-008, y = 0.309017, z = 0.951056
Vertex 584: x = 0.0954915, y = 0.293893, z = 0.951056
Vertex 585: x = 0.0859423, y = 0.264503, z = 0.855951
Vertex 586: x = 0.181636, y = 0.559017, z = 0.809017
Vertex 587: x = -2.56929e-008, y = 0.587785, z = 0.809017
Vertex 588: x = -2.56929e-008, y = 0.587785, z = 0.809017
Vertex 589: x = -1.21568e-008, y = 0.278115, z = 0.855951
Vertex 590: x = 0.0859423, y = 0.264503, z = 0.855951
Vertex 591: x = 0.181636, y = 0.559017, z = 0.809017
Vertex 592: x = 0.163472, y = 0.503115, z = 0.728115
Vertex 593: x = -2.31236e-008, y = 0.529006, z = 0.728115
Vertex 594: x = -2.31236e-008, y = 0.529006, z = 0.728115
Vertex 595: x = -2.56929e-008, y = 0.587785, z = 0.809017
Vertex 596: x = 0.181636, y = 0.559017, z = 0.809017
Vertex 597: x = 0.163472, y = 0.503115, z = 0.728115
Vertex 598: x = 0.25, y = 0.769421, z = 0.587785
Vertex 599: x = -3.53632e-008, y = 0.809017, z = 0.587785
Vertex 600: x = -3.53632e-008, y = 0.809017, z = 0.587785
Vertex 601: x = -2.31236e-008, y = 0.529006, z = 0.728115
Vertex 602: x = 0.163472, y = 0.503115, z = 0.728115
Vertex 603: x = 0.25, y = 0.769421, z = 0.587785
Vertex 604: x = 0.225, y = 0.692479, z = 0.529007
Vertex 605: x = -3.18269e-008, y = 0.728115, z = 0.529007
Vertex 606: x = -3.18269e-008, y = 0.728115, z = 0.529007
Vertex 607: x = -3.53632e-008, y = 0.809017, z = 0.587785
Vertex 608: x = 0.25, y = 0.769421, z = 0.587785
Vertex 609: x = 0.225, y = 0.692479, z = 0.529007
Vertex 610: x = 0.293893, y = 0.904508, z = 0.309017
Vertex 611: x = -4.1572e-008, y = 0.951056, z = 0.309017
Vertex 612: x = -4.1572e-008, y = 0.951056, z = 0.309017
Vertex 613: x = -3.18269e-008, y = 0.728115, z = 0.529007
Vertex 614: x = 0.225, y = 0.692479, z = 0.529007
Vertex 615: x = 0.293893, y = 0.904508, z = 0.309017
Vertex 616: x = 0.264503, y = 0.814058, z = 0.278115
Vertex 617: x = -3.74148e-008, y = 0.855951, z = 0.278115
Vertex 618: x = -3.74148e-008, y = 0.855951, z = 0.278115
Vertex 619: x = -4.1572e-008, y = 0.951056, z = 0.309017
Vertex 620: x = 0.293893, y = 0.904508, z = 0.309017
Vertex 621: x = 0.264503, y = 0.814058, z = 0.278115
Vertex 622: x = 0.309017, y = 0.951056, z = 0
Vertex 623: x = -4.37114e-008, y = 1, z = 0
Vertex 624: x = -4.37114e-008, y = 1, z = 0
Vertex 625: x = -3.74148e-008, y = 0.855951, z = 0.278115
Vertex 626: x = 0.264503, y = 0.814058, z = 0.278115
Vertex 627: x = 0.309017, y = 0.951056, z = 0
Vertex 628: x = 0.278115, y = 0.855951, z = 0
Vertex 629: x = -3.93402e-008, y = 0.9, z = 0
Vertex 630: x = -3.93402e-008, y = 0.9, z = 0
Vertex 631: x = -4.37114e-008, y = 1, z = 0
Vertex 632: x = 0.309017, y = 0.951056, z = 0
Vertex 633: x = 0.278115, y = 0.855951, z = 0
Vertex 634: x = 0.293893, y = 0.904508, z = -0.309017
Vertex 635: x = -4.1572e-008, y = 0.951056, z = -0.309017
Vertex 636: x = -4.1572e-008, y = 0.951056, z = -0.309017
Vertex 637: x = -3.93402e-008, y = 0.9, z = 0
Vertex 638: x = 0.278115, y = 0.855951, z = 0
Vertex 639: x = 0.293893, y = 0.904508, z = -0.309017
Vertex 640: x = 0.264503, y = 0.814057, z = -0.278115
Vertex 641: x = -3.74148e-008, y = 0.855951, z = -0.278115
Vertex 642: x = -3.74148e-008, y = 0.855951, z = -0.278115
Vertex 643: x = -4.1572e-008, y = 0.951056, z = -0.309017
Vertex 644: x = 0.293893, y = 0.904508, z = -0.309017
Vertex 645: x = 0.264503, y = 0.814057, z = -0.278115
Vertex 646: x = 0.25, y = 0.769421, z = -0.587785
Vertex 647: x = -3.53632e-008, y = 0.809017, z = -0.587785
Vertex 648: x = -3.53632e-008, y = 0.809017, z = -0.587785
Vertex 649: x = -3.74148e-008, y = 0.855951, z = -0.278115
Vertex 650: x = 0.264503, y = 0.814057, z = -0.278115
Vertex 651: x = 0.25, y = 0.769421, z = -0.587785
Vertex 652: x = 0.225, y = 0.692479, z = -0.529006
Vertex 653: x = -3.18269e-008, y = 0.728115, z = -0.529006
Vertex 654: x = -3.18269e-008, y = 0.728115, z = -0.529006
Vertex 655: x = -3.53632e-008, y = 0.809017, z = -0.587785
Vertex 656: x = 0.25, y = 0.769421, z = -0.587785
Vertex 657: x = 0.225, y = 0.692479, z = -0.529006
Vertex 658: x = 0.181636, y = 0.559017, z = -0.809017
Vertex 659: x = -2.56929e-008, y = 0.587785, z = -0.809017
Vertex 660: x = -2.56929e-008, y = 0.587785, z = -0.809017
Vertex 661: x = -3.18269e-008, y = 0.728115, z = -0.529006
Vertex 662: x = 0.225, y = 0.692479, z = -0.529006
Vertex 663: x = 0.181636, y = 0.559017, z = -0.809017
Vertex 664: x = 0.163472, y = 0.503115, z = -0.728115
Vertex 665: x = -2.31236e-008, y = 0.529007, z = -0.728115
Vertex 666: x = -2.31236e-008, y = 0.529007, z = -0.728115
Vertex 667: x = -2.56929e-008, y = 0.587785, z = -0.809017
Vertex 668: x = 0.181636, y = 0.559017, z = -0.809017
Vertex 669: x = 0.163472, y = 0.503115, z = -0.728115
Vertex 670: x = 0.0954915, y = 0.293893, z = -0.951056
Vertex 671: x = -1.35076e-008, y = 0.309017, z = -0.951056
Vertex 672: x = -1.35076e-008, y = 0.309017, z = -0.951056
Vertex 673: x = -2.31236e-008, y = 0.529007, z = -0.728115
Vertex 674: x = 0.163472, y = 0.503115, z = -0.728115
Vertex 675: x = 0.0954915, y = 0.293893, z = -0.951056
Vertex 676: x = 0.0859423, y = 0.264503, z = -0.855951
Vertex 677: x = -1.21568e-008, y = 0.278115, z = -0.855951
Vertex 678: x = -1.21568e-008, y = 0.278115, z = -0.855951
Vertex 679: x = -1.35076e-008, y = 0.309017, z = -0.951056
Vertex 680: x = 0.0954915, y = 0.293893, z = -0.951056
Vertex 681: x = 0.0859423, y = 0.264503, z = -0.855951
Vertex 682: x = -1.35076e-008, y = -4.1572e-008, z = -1
Vertex 683: x = 1.91069e-015, y = -4.37114e-008, z = -1
Vertex 684: x = 1.91069e-015, y = -4.37114e-008, z = -1
Vertex 685: x = -1.21568e-008, y = 0.278115, z = -0.855951
Vertex 686: x = 0.0859423, y = 0.264503, z = -0.855951
Vertex 687: x = -1.35076e-008, y = -4.1572e-008, z = -1
Vertex 688: x = -1.21568e-008, y = -3.74148e-008, z = -0.9
Vertex 689: x = 1.71962e-015, y = -3.93402e-008, z = -0.9
Vertex 690: x = 1.71962e-015, y = -3.93402e-008, z = -0.9
Vertex 691: x = 1.91069e-015, y = -4.37114e-008, z = -1
Vertex 692: x = -1.35076e-008, y = -4.1572e-008, z = -1
Vertex 693: x = 1.91069e-015, y = -4.37114e-008, z = 1
Vertex 694: x = 1.71962e-015, y = -3.93402e-008, z = 0.9
Vertex 695: x = 1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 696: x = 1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 697: x = 1.35076e-008, y = -4.1572e-008, z = 1
Vertex 698: x = 1.91069e-015, y = -4.37114e-008, z = 1
Vertex 699: x = 1.71962e-015, y = -3.93402e-008, z = 0.9
Vertex 700: x = -1.35076e-008, y = 0.309017, z = 0.951056
Vertex 701: x = -0.0954915, y = 0.293893, z = 0.951056
Vertex 702: x = -0.0954915, y = 0.293893, z = 0.951056
Vertex 703: x = 1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 704: x = 1.71962e-015, y = -3.93402e-008, z = 0.9
Vertex 705: x = -1.35076e-008, y = 0.309017, z = 0.951056
Vertex 706: x = -1.21568e-008, y = 0.278115, z = 0.855951
Vertex 707: x = -0.0859423, y = 0.264503, z = 0.855951
Vertex 708: x = -0.0859423, y = 0.264503, z = 0.855951
Vertex 709: x = -0.0954915, y = 0.293893, z = 0.951056
Vertex 710: x = -1.35076e-008, y = 0.309017, z = 0.951056
Vertex 711: x = -1.21568e-008, y = 0.278115, z = 0.855951
Vertex 712: x = -2.56929e-008, y = 0.587785, z = 0.809017
Vertex 713: x = -0.181636, y = 0.559017, z = 0.809017
Vertex 714: x = -0.181636, y = 0.559017, z = 0.809017
Vertex 715: x = -0.0859423, y = 0.264503, z = 0.855951
Vertex 716: x = -1.21568e-008, y = 0.278115, z = 0.855951
Vertex 717: x = -2.56929e-008, y = 0.587785, z = 0.809017
Vertex 718: x = -2.31236e-008, y = 0.529006, z = 0.728115
Vertex 719: x = -0.163472, y = 0.503115, z = 0.728115
Vertex 720: x = -0.163472, y = 0.503115, z = 0.728115
Vertex 721: x = -0.181636, y = 0.559017, z = 0.809017
Vertex 722: x = -2.56929e-008, y = 0.587785, z = 0.809017
Vertex 723: x = -2.31236e-008, y = 0.529006, z = 0.728115
Vertex 724: x = -3.53632e-008, y = 0.809017, z = 0.587785
Vertex 725: x = -0.25, y = 0.769421, z = 0.587785
Vertex 726: x = -0.25, y = 0.769421, z = 0.587785
Vertex 727: x = -0.163472, y = 0.503115, z = 0.728115
Vertex 728: x = -2.31236e-008, y = 0.529006, z = 0.728115
Vertex 729: x = -3.53632e-008, y = 0.809017, z = 0.587785
Vertex 730: x = -3.18269e-008, y = 0.728115, z = 0.529007
Vertex 731: x = -0.225, y = 0.692479, z = 0.529007
Vertex 732: x = -0.225, y = 0.692479, z = 0.529007
Vertex 733: x = -0.25, y = 0.769421, z = 0.587785
Vertex 734: x = -3.53632e-008, y = 0.809017, z = 0.587785
Vertex 735: x = -3.18269e-008, y = 0.728115, z = 0.529007
Vertex 736: x = -4.1572e-008, y = 0.951056, z = 0.309017
Vertex 737: x = -0.293893, y = 0.904508, z = 0.309017
Vertex 738: x = -0.293893, y = 0.904508, z = 0.309017
Vertex 739: x = -0.225, y = 0.692479, z = 0.529007
Vertex 740: x = -3.18269e-008, y = 0.728115, z = 0.529007
Vertex 741: x = -4.1572e-008, y = 0.951056, z = 0.309017
Vertex 742: x = -3.74148e-008, y = 0.855951, z = 0.278115
Vertex 743: x = -0.264503, y = 0.814057, z = 0.278115
Vertex 744: x = -0.264503, y = 0.814057, z = 0.278115
Vertex 745: x = -0.293893, y = 0.904508, z = 0.309017
Vertex 746: x = -4.1572e-008, y = 0.951056, z = 0.309017
Vertex 747: x = -3.74148e-008, y = 0.855951, z = 0.278115
Vertex 748: x = -4.37114e-008, y = 1, z = 0
Vertex 749: x = -0.309017, y = 0.951056, z = 0
Vertex 750: x = -0.309017, y = 0.951056, z = 0
Vertex 751: x = -0.264503, y = 0.814057, z = 0.278115
Vertex 752: x = -3.74148e-008, y = 0.855951, z = 0.278115
Vertex 753: x = -4.37114e-008, y = 1, z = 0
Vertex 754: x = -3.93402e-008, y = 0.9, z = 0
Vertex 755: x = -0.278115, y = 0.855951, z = 0
Vertex 756: x = -0.278115, y = 0.855951, z = 0
Vertex 757: x = -0.309017, y = 0.951056, z = 0
Vertex 758: x = -4.37114e-008, y = 1, z = 0
Vertex 759: x = -3.93402e-008, y = 0.9, z = 0
Vertex 760: x = -4.1572e-008, y = 0.951056, z = -0.309017
Vertex 761: x = -0.293893, y = 0.904508, z = -0.309017
Vertex 762: x = -0.293893, y = 0.904508, z = -0.309017
Vertex 763: x = -0.278115, y = 0.855951, z = 0
Vertex 764: x = -3.93402e-008, y = 0.9, z = 0
Vertex 765: x = -4.1572e-008, y = 0.951056, z = -0.309017
Vertex 766: x = -3.74148e-008, y = 0.855951, z = -0.278115
Vertex 767: x = -0.264503, y = 0.814057, z = -0.278115
Vertex 768: x = -0.264503, y = 0.814057, z = -0.278115
Vertex 769: x = -0.293893, y = 0.904508, z = -0.309017
Vertex 770: x = -4.1572e-008, y = 0.951056, z = -0.309017
Vertex 771: x = -3.74148e-008, y = 0.855951, z = -0.278115
Vertex 772: x = -3.53632e-008, y = 0.809017, z = -0.587785
Vertex 773: x = -0.25, y = 0.769421, z = -0.587785
Vertex 774: x = -0.25, y = 0.769421, z = -0.587785
Vertex 775: x = -0.264503, y = 0.814057, z = -0.278115
Vertex 776: x = -3.74148e-008, y = 0.855951, z = -0.278115
Vertex 777: x = -3.53632e-008, y = 0.809017, z = -0.587785
Vertex 778: x = -3.18269e-008, y = 0.728115, z = -0.529006
Vertex 779: x = -0.225, y = 0.692479, z = -0.529006
Vertex 780: x = -0.225, y = 0.692479, z = -0.529006
Vertex 781: x = -0.25, y = 0.769421, z = -0.587785
Vertex 782: x = -3.53632e-008, y = 0.809017, z = -0.587785
Vertex 783: x = -3.18269e-008, y = 0.728115, z = -0.529006
Vertex 784: x = -2.56929e-008, y = 0.587785, z = -0.809017
Vertex 785: x = -0.181636, y = 0.559017, z = -0.809017
Vertex 786: x = -0.181636, y = 0.559017, z = -0.809017
Vertex 787: x = -0.225, y = 0.692479, z = -0.529006
Vertex 788: x = -3.18269e-008, y = 0.728115, z = -0.529006
Vertex 789: x = -2.56929e-008, y = 0.587785, z = -0.809017
Vertex 790: x = -2.31236e-008, y = 0.529007, z = -0.728115
Vertex 791: x = -0.163472, y = 0.503115, z = -0.728115
Vertex 792: x = -0.163472, y = 0.503115, z = -0.728115
Vertex 793: x = -0.181636, y = 0.559017, z = -0.809017
Vertex 794: x = -2.56929e-008, y = 0.587785, z = -0.809017
Vertex 795: x = -2.31236e-008, y = 0.529007, z = -0.728115
Vertex 796: x = -1.35076e-008, y = 0.309017, z = -0.951056
Vertex 797: x = -0.0954915, y = 0.293893, z = -0.951056
Vertex 798: x = -0.0954915, y = 0.293893, z = -0.951056
Vertex 799: x = -0.163472, y = 0.503115, z = -0.728115
Vertex 800: x = -2.31236e-008, y = 0.529007, z = -0.728115
Vertex 801: x = -1.35076e-008, y = 0.309017, z = -0.951056
Vertex 802: x = -1.21568e-008, y = 0.278115, z = -0.855951
Vertex 803: x = -0.0859424, y = 0.264503, z = -0.855951
Vertex 804: x = -0.0859424, y = 0.264503, z = -0.855951
Vertex 805: x = -0.0954915, y = 0.293893, z = -0.951056
Vertex 806: x = -1.35076e-008, y = 0.309017, z = -0.951056
Vertex 807: x = -1.21568e-008, y = 0.278115, z = -0.855951
Vertex 808: x = 1.91069e-015, y = -4.37114e-008, z = -1
Vertex 809: x = 1.35076e-008, y = -4.1572e-008, z = -1
Vertex 810: x = 1.35076e-008, y = -4.1572e-008, z = -1
Vertex 811: x = -0.0859424, y = 0.264503, z = -0.855951
Vertex 812: x = -1.21568e-008, y = 0.278115, z = -0.855951
Vertex 813: x = 1.91069e-015, y = -4.37114e-008, z = -1
Vertex 814: x = 1.71962e-015, y = -3.93402e-008, z = -0.9
Vertex 815: x = 1.21568e-008, y = -3.74148e-008, z = -0.9
Vertex 816: x = 1.21568e-008, y = -3.74148e-008, z = -0.9
Vertex 817: x = 1.35076e-008, y = -4.1572e-008, z = -1
Vertex 818: x = 1.91069e-015, y = -4.37114e-008, z = -1
Vertex 819: x = 1.35076e-008, y = -4.1572e-008, z = 1
Vertex 820: x = 1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 821: x = 2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 822: x = 2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 823: x = 2.56929e-008, y = -3.53633e-008, z = 1
Vertex 824: x = 1.35076e-008, y = -4.1572e-008, z = 1
Vertex 825: x = 1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 826: x = -0.0954915, y = 0.293893, z = 0.951056
Vertex 827: x = -0.181636, y = 0.25, z = 0.951056
Vertex 828: x = -0.181636, y = 0.25, z = 0.951056
Vertex 829: x = 2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 830: x = 1.21568e-008, y = -3.74148e-008, z = 0.9
Vertex 831: x = -0.0954915, y = 0.293893, z = 0.951056
Vertex 832: x = -0.0859423, y = 0.264503, z = 0.855951
Vertex 833: x = -0.163472, y = 0.225, z = 0.855951
Vertex 834: x = -0.163472, y = 0.225, z = 0.855951
Vertex 835: x = -0.181636, y = 0.25, z = 0.951056
Vertex 836: x = -0.0954915, y = 0.293893, z = 0.951056
Vertex 837: x = -0.0859423, y = 0.264503, z = 0.855951
Vertex 838: x = -0.181636, y = 0.559017, z = 0.809017
Vertex 839: x = -0.345491, y = 0.475528, z = 0.809017
Vertex 840: x = -0.345491, y = 0.475528, z = 0.809017
Vertex 841: x = -0.163472, y = 0.225, z = 0.855951
Vertex 842: x = -0.0859423, y = 0.264503, z = 0.855951
Vertex 843: x = -0.181636, y = 0.559017, z = 0.809017
Vertex 844: x = -0.163472, y = 0.503115, z = 0.728115
Vertex 845: x = -0.310942, y = 0.427975, z = 0.728115
Vertex 846: x = -0.310942, y = 0.427975, z = 0.728115
Vertex 847: x = -0.345491, y = 0.475528, z = 0.809017
Vertex 848: x = -0.181636, y = 0.559017, z = 0.809017
Vertex 849: x = -0.163472, y = 0.503115, z = 0.728115
Vertex 850: x = -0.25, y = 0.769421, z = 0.587785
Vertex 851: x = -0.475528, y = 0.654508, z = 0.587785
Vertex 852: x = -0.475528, y = 0.654508, z = 0.587785
Vertex 853: x = -0.310942, y = 0.427975, z = 0.728115
Vertex 854: x = -0.163472, y = 0.503115, z = 0.728115
Vertex 855: x = -0.25, y = 0.769421, z = 0.587785
Vertex 856: x = -0.225, y = 0.692479, z = 0.529007
Vertex 857: x = -0.427975, y = 0.589057, z = 0.529007
Vertex 858: x = -0.427975, y = 0.589057, z = 0.529007
Vertex 859: x = -0.475528, y = 0.654508, z = 0.587785
Vertex 860: x = -0.25, y = 0.769421, z = 0.587785
Vertex 861: x = -0.225, y = 0.692479, z = 0.529007
Vertex 862: x = -0.293893, y = 0.904508, z = 0.309017
Vertex 863: x = -0.559017, y = 0.769421, z = 0.309017
Vertex 864: x = -0.559017, y = 0.769421, z = 0.309017
Vertex 865: x = -0.427975, y = 0.589057, z = 0.529007
Vertex 866: x = -0.225, y = 0.692479, z = 0.529007
Vertex 867: x = -0.293893, y = 0.904508, z = 0.309017
Vertex 868: x = -0.264503, y = 0.814057, z = 0.278115
Vertex 869: x = -0.503115, y = 0.692479, z = 0.278115
Vertex 870: x = -0.503115, y = 0.692479, z = 0.278115
Vertex 871: x = -0.559017, y = 0.769421, z = 0.309017
Vertex 872: x = -0.293893, y = 0.904508, z = 0.309017
Vertex 873: x = -0.264503, y = 0.814057, z = 0.278115
Vertex 874: x = -0.309017, y = 0.951056, z = 0
Vertex 875: x = -0.587785, y = 0.809017, z = 0
Vertex 876: x = -0.587785, y = 0.809017, z = 0
Vertex 877: x = -0.503115, y = 0.692479, z = 0.278115
Vertex 878: x = -0.264503, y = 0.814057, z = 0.278115
Vertex 879: x = -0.309017, y = 0.951056, z = 0
